"context_name","dominio","issn","record_count_2023","record_count_2024","record_count_2025","crecimiento_2023_2024","total_historico","activa_2024","region_pkp"
"Atenea","revistas.udec.cl","0716-1840 0718-0462",38,64,14,26,10040,TRUE,"Latin America & Caribbean"
"Onomázein","onomazein.letras.uc.cl","0718-5758",74,64,0,-10,1105,TRUE,"Latin America & Caribbean"
"Revista de Estudios y Experiencias en Educación","www.rexe.cl","0718-5162",66,63,40,-3,804,TRUE,"Latin America & Caribbean"
"Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas","blacpma.ms-editions.cl","0717-7917",52,61,13,9,463,TRUE,"Latin America & Caribbean"
"Chilean Journal of Agricultural & Animal Sciences","revistas.udec.cl","0719-3890",105,57,34,-48,437,TRUE,"Latin America & Caribbean"
"Revista Chilena de Educación Científica","revistas.umce.cl","0717-9618 2810-6040",68,57,41,-11,175,TRUE,"Latin America & Caribbean"
"Revista de Geografía Norte Grande","revistanortegrande.uc.cl","0379-8682 0718-3402",22,57,0,35,1110,TRUE,"Latin America & Caribbean"
"Revista AIDIS de ingeniería y ciencias ambientales: Investigación, desarrollo y práctica","www.revistas.unam.mx","0718-378X",69,55,22,-14,938,TRUE,"Latin America & Caribbean"
"Revista Latinoamericana de Educación Inclusiva","revistainclusiva.ucentral.cl","0718-5480 0718-7378",7,53,11,46,424,TRUE,"Latin America & Caribbean"
"Revista Ingeniería de Construcción","ojs.uc.cl","0718-5073",35,53,18,18,718,TRUE,"Latin America & Caribbean"
"Cuadernos.info","cuadernos.info","0719-367X",52,52,0,0,822,TRUE,"Latin America & Caribbean"
"Historia","revistahistoria.uc.cl","0717-7194",51,50,1,-1,925,TRUE,"Latin America & Caribbean"
"Revista Notas Históricas y Geográficas","revistanotashistoricasygeograficas.cl","0719-4404",14,49,31,35,471,TRUE,"Latin America & Caribbean"
"Revista Confluencia","revistas.udd.cl","2735-6027",51,49,44,-2,333,TRUE,"Latin America & Caribbean"
"Revista nuestrAmérica","nuestramerica.cl","0719-3092",78,49,16,-29,520,TRUE,"Latin America & Caribbean"
"Revista de Historia","revistas.udec.cl","0716-9108 0717-8832",49,48,23,-1,561,TRUE,"Latin America & Caribbean"
"Revista Chilena de Enfermedades Respiratorias","revchilenfermrespir.cl","0716-2065 0717-7348",38,47,18,9,826,TRUE,"Latin America & Caribbean"
"Estudios Pedagógicos","revistas.uach.cl","0716-050X 0718-0705",113,47,0,-66,1196,TRUE,"Latin America & Caribbean"
"Comunicación y Medios","comunicacionymedios.uchile.cl","0716-3991 0719-1529",28,46,0,18,768,TRUE,"Latin America & Caribbean"
"Historia 396","historia396.cl","0719-0719 0719-7969",39,45,28,6,352,TRUE,"Latin America & Caribbean"
"Revista de Ciencia Política","revistacienciapolitica.uc.cl","0718-090X",1,45,0,44,1202,TRUE,"Latin America & Caribbean"
"Revista Musical Chilena","revistamusicalchilena.uchile.cl","0716-2790 0717-6252",36,43,0,7,4566,TRUE,"Latin America & Caribbean"
"Atacama Journal of Health Sciences","salud.uda.cl","2735-7635",4,42,1,38,121,TRUE,"Latin America & Caribbean"
"Journal of Oral Research","joralres.com","0719-2460 0719-2479",34,41,14,7,876,TRUE,"Latin America & Caribbean"
"Trenzar. Revista de Educación Popular, Pedagogía Crítica e Investigación Militante (ISSN 2452-4301)","revistatrenzar.cl","2452-4301",10,41,21,31,72,TRUE,"Latin America & Caribbean"
"ARS MEDICA Revista de Ciencias Médicas","www.arsmedica.cl","0718-1051 0719-1855",34,40,30,6,1612,TRUE,"Latin America & Caribbean"
"Maderas-Cienc Tecnol","revistas.ubiobio.cl","0717-3644 0718-221X",50,40,24,-10,907,TRUE,"Latin America & Caribbean"
"Revista de Filosofía UCSC","revistas.ucsc.cl","0717-7801 2735-6353",47,40,13,-7,161,TRUE,"Latin America & Caribbean"
"Revista de Humanidades de Valparaíso","rhv.uv.cl","0719-4234 0719-4242",32,40,1,8,270,TRUE,"Latin America & Caribbean"
"Acta Bioethica","actabioethica.uchile.cl","0717-5906 1726-569X",39,39,23,0,884,TRUE,"Latin America & Caribbean"
