issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error
1852-9429;1853-1180,,0,0,0,0.0,False,
0328-8935;2683-9695,,0,0,0,0.0,False,
0329-0379;2250-8309,,0,0,0,0.0,False,
0328-1337;2591-5312,,0,0,0,0.0,False,
1853-6743;2796-7360,,0,0,0,0.0,False,
2250-4001,S4387280271,0,0,6,0.10921501706484642,True,
2545-6881,,0,0,0,0.0,False,
2250-4060,S4404676392,0,0,2,0.0,True,
0328-1396;2683-7307,,0,0,0,0.0,False,
1669-2381;1851-8265,,0,0,0,0.0,False,
1852-4206,S2738645507,354,1021,13,0.4,True,
2347-0658,S4393918411,0,0,0,0.0,True,
0327-7763;2451-5434,,0,0,0,0.0,False,
2250-4591;2346-9986,,0,0,0,0.0,False,
1666-7603;2362-3322,,0,0,0,0.0,False,
2683-7404,S4210230541,83,84,4,0.031746031746031744,True,
2683-9105,,0,0,0,0.0,False,
1515-9485;2313-9927,,0,0,0,0.0,False,
2422-7803,S4210194155,229,372,7,0.1509433962264151,True,
2683-7951,S4210215760,88,218,7,0.6481481481481481,True,
1852-1606,S2736489685,546,877,9,0.2903225806451613,True,
1852-1606,S2736489685,546,877,9,0.2903225806451613,True,
2796-8642;2953-3937,,0,0,0,0.0,False,
2683-9032,,0,0,0,0.0,False,
0329-2665;1851-2879,,0,0,0,0.0,False,
2718-7519,,0,0,0,0.0,False,
1666-0579;1851-3123,,0,0,0,0.0,False,
2422-5932,,0,0,0,0.0,False,
2408-4417,S4306504646,63,18,2,0.05714285714285714,True,
1851-6076,S2737678638,28,9,1,0.0,True,
1853-9912,S2738311133,212,429,9,0.29508196721311475,True,
1853-9912,S2738311133,212,429,9,0.29508196721311475,True,
1853-9580,S2736459969,409,120,4,0.05714285714285714,True,
1668-4753;2545-7667,,0,0,0,0.0,False,
2362-4337;2408-4077,,0,0,0,0.0,False,
1851-6866;2422-6017,,0,0,0,0.0,False,
1668-4885;2683-7234,,0,0,0,0.0,False,
2591-3468;2591-3476,,0,0,0,0.0,False,
2684-0383,,0,0,0,0.0,False,
1668-4834;1669-6840,,0,0,0,0.0,False,
2684-0537;2684-057X,,0,0,0,0.0,False,
