issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error,is_oa,is_in_doaj,apc_usd,apc_prices,host_organization_name,host_organization,societies,i10_index,is_core,counts_by_year,created_date,updated_date,display_name,homepage_url,country_code,type,abbreviated_title,alternate_titles,context_name,dominio,total_historico,record_count_2023,indice_visibilidad,tasa_indexacion_openalex
0717-9324;0717-9707,S114494114,1838,17365,44,2.095890410958904,True,Unexpected error: 'str' object has no attribute 'get',True,False,,[],,,[],563,False,[],2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Journal of the Chilean Chemical Society,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-9707&lng=en&nrm=iso,,journal,,[],Journal of the Chilean Chemical Society,www.jcchems.com,557,45,31.175942549371634,3.2998204667863553
0719-9597,S4210209342,731,201,5,0.14423076923076922,True,,True,False,,[],,,[],3,False,"[{'year': 2016, 'works_count': 43, 'cited_by_count': 5}, {'year': 2015, 'works_count': 44, 'cited_by_count': 0}, {'year': 2014, 'works_count': 39, 'cited_by_count': 14}, {'year': 2013, 'works_count': 35, 'cited_by_count': 0}, {'year': 2012, 'works_count': 35, 'cited_by_count': 3}, {'year': 2011, 'works_count': 42, 'cited_by_count': 4}, {'year': 2010, 'works_count': 46, 'cited_by_count': 60}, {'year': 2009, 'works_count': 41, 'cited_by_count': 3}, {'year': 2008, 'works_count': 32, 'cited_by_count': 26}, {'year': 2007, 'works_count': 22, 'cited_by_count': 3}]",2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Observatorio Económico,,,journal,,['Revista de la Facultad de Economía y Negocios de la Universidad Alberto Hurtado'],Observatorio Económico,www.observatorioeconomico.cl,554,42,0.3628158844765343,1.3194945848375452
0718-915X,S995157691,368,1950,20,0.0,True,Unexpected error: 'str' object has no attribute 'get',True,False,,[],,,[],64,False,[],2016-06-24T00:00:00,2025-10-27T03:11:17.418693,Revista de la construcción,http://www.scielo.cl/rconst.htm,,journal,,[],Revista de la Construcción. Journal of Construction,revistadelaconstruccion.uc.cl,459,42,4.248366013071895,0.8017429193899782
0717-3652;0719-5281,S4306526293,979,960,12,0.2222222222222222,True,,True,True,,[],,,[],20,False,"[{'year': 2017, 'works_count': 39, 'cited_by_count': 27}, {'year': 2016, 'works_count': 13, 'cited_by_count': 29}, {'year': 2015, 'works_count': 53, 'cited_by_count': 52}, {'year': 2014, 'works_count': 79, 'cited_by_count': 73}, {'year': 2013, 'works_count': 114, 'cited_by_count': 67}, {'year': 2012, 'works_count': 165, 'cited_by_count': 115}, {'year': 2011, 'works_count': 87, 'cited_by_count': 37}, {'year': 2010, 'works_count': 186, 'cited_by_count': 240}, {'year': 2007, 'works_count': 3, 'cited_by_count': 3}, {'year': 2004, 'works_count': 24, 'cited_by_count': 41}]",2025-10-10T00:00:00,2025-10-27T03:07:04.448195,Revista Chilena de Salud Pública,http://www.revistasaludpublica.uchile.cl,,journal,,[],Revista Chilena de Salud Pública,revistasaludpublica.uchile.cl,699,41,1.3733905579399142,1.4005722460658083
0718-5456;0719-8949,S4210190999,8,3,1,0.0,True,Unexpected error: 'str' object has no attribute 'get',True,False,,[],,,[],0,False,[],2025-10-10T00:00:00,2025-10-27T03:07:04.448195,Intus - Legere Historia,http://intushistoria.uai.cl/index.php/intushistoria,,journal,,[],Intus - Legere Historia,intushistoria.uai.cl,396,41,0.007575757575757576,0.020202020202020204
0718-2228,S110868954,885,6655,35,0.6511627906976745,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],207,False,[],2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Psykhe (Santiago),http://www.psykhe.cl,,journal,,['Revista de la Escuela de Psicología'],Psykhe,ojs.uc.cl,872,41,7.631880733944954,1.014908256880734
2452-610X,S4387283128,720,712,10,0.20833333333333334,True,Unexpected error: 'NoneType' object is not iterable,True,True,,,,,[],13,False,[],2025-10-10T00:00:00,2025-10-27T03:07:04.448195,REVISTA CUHSO,,,journal,,[],REVISTA CUHSO,cuhso.uct.cl,910,40,0.7824175824175824,0.7912087912087912
2810-6458,,0,0,0,0.0,False,,False,False,,[],,,[],0,False,[],,,,,,,,[],Wire Insights: Journal of Innovation Insights,academiaone.org,69,40,0.0,0.0
0717-5906;1726-569X,S206176358,1034,4303,25,0.3739130434782609,True,Unexpected error: 'str' object has no attribute 'get',True,False,,[],,,[],108,False,[],2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Acta bioethica,http://www.actabioethica.uchile.cl/,,journal,,[],Acta Bioethica,actabioethica.uchile.cl,859,39,5.009313154831199,1.2037252619324796
0716-1832;0719-1243,S4210201623,769,794,11,0.15151515151515152,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],16,False,[],2016-06-24T00:00:00,2025-10-27T03:07:04.448195,Cuadernos de historia (Santiago),https://cuadernosdehistoria.uchile.cl/,,journal,,[],Cuadernos de Historia,cuadernosdehistoria.uchile.cl,713,39,1.1136044880785414,1.0785413744740533
