"context_name","dominio","issn","record_count_2023","record_count_2022","record_count_2021","record_count_2020","total_historico"
"Investigaciones Geográficas: Una mirada desde el sur","investigacionesgeograficas.uchile.cl","0718-9575;0719-5370",17,16,17,19,360
"Estudios Internacionales","revistaei.uchile.cl","0716-0240;0719-3769",17,16,27,14,1608
"Revista Estudios en Educación","ojs.umc.cl","2452-4980",17,21,22,35,142
"Política. Revista de Ciencia Política","revistapolitica.uchile.cl","0716-1077;0719-5338",17,18,20,19,763
"Revista de Derecho Económico","revistaderechoeconomico.uchile.cl","0716-310X;0719-7462",17,12,14,0,427
"A.Dnz","adnz.uchile.cl","0719-4676",17,0,16,0,145
"Transformar","revistatransformar.cl","2735-6302",17,14,17,4,68
"Agro sur","revistas.uach.cl","0304-8802;0719-4196",17,12,13,15,586
"Revista Electrónica Diálogos Educativos. REDE","revistas.umce.cl","0718-1310",17,3,0,0,299
"Revista Realidad Educativa","revistas.uft.cl","2452-6134",16,13,7,0,51
"Praxispsi","praxispsi.udp.cl","2735-6957",16,16,9,16,161
"Journal of Movement & Health","jmh.ucv.cl","2452-5812",16,16,8,15,157
"Tiempo Histórico","revistas.academia.cl","0718-7432;0719-5699",16,28,17,17,280
"Revista Chilena de Antropología","revistas.uchile.cl","0716-3312;0719-1472",16,8,19,18,457
"Revista Justicia & Derecho","revistas.uautonoma.cl","0719-9392",16,15,27,24,126
"Revista de Psicología","revistapsicologia.uchile.cl","0716-8039;0719-0581",16,19,25,15,598
"TS Cuadernos de Trabajo Social","www.tscuadernosdetrabajosocial.cl","0719-6520",16,12,16,12,183
"Revista de Teoría del Arte","revistateoriadelarte.uchile.cl","0719-7276",16,6,9,0,406
"Revista de Estudios de la Justicia","rej.uchile.cl","0718-0853;0718-4735",16,13,12,12,313
"Revista Saberes Educativos","sabereseducativos.uchile.cl","2452-5014",16,14,25,11,129
"Cultura y Religión","revistaculturayreligion.cl","0718-4727;0718-5472",16,26,23,26,391
"Persona y Sociedad","personaysociedad.uahurtado.cl","0716-730X;0719-0883",16,10,12,17,310
"Encrucijada Americana","encrucijadaamericana.uahurtado.cl","0718-5766;0719-3432",16,16,17,10,216
"Rompefilas","rompefilas.cl","0716-7598",16,6,15,0,37
"Revista Educación Las Américas","revistas.udla.cl","0719-7128",16,7,10,23,122
"Cinta de Moebio. Revista de Epistemología de Ciencias Sociales","cintademoebio.uchile.cl","0717-554X",16,15,17,31,572
"Gobierno y Administración Pública","revistas.udec.cl","2735-7074",16,18,7,0,59
"Revista Chilena de Rehabilitación y Actividad Física","revistas.uautonoma.cl","2735-7287",16,14,4,0,41
"Revista de Innovación en Enseñanza de las Ciencias","reinnec.cl","0719-9007",16,0,16,23,125
"Foro Educacional","ediciones.ucsh.cl","0717-2710;0718-0772",16,16,13,17,219
"Hermenéutica Intercultural","ediciones.ucsh.cl","0718-4980;0719-6504",16,17,17,26,239
"Revista Sul-Americana de Psicologia","ediciones.ucsh.cl","2318-650X",16,13,24,9,200
"Latin American Legal Studies","lals.uai.cl","0719-9104;0719-9112",16,14,27,8,102
"Revista INTEREDU","revistas.ulagos.cl","2735-6523",16,19,32,49,129
"Revista de Trabajo Social","revistatrabajosocial.uc.cl","2735-7228",16,19,13,132,503
"ARQUITECTURAS DEL SUR","revistas.ubiobio.cl","0716-2677;0719-6466",15,17,15,19,560
"Revista de la Academia","revistas.academia.cl","0719-6318",15,14,22,16,160
"Estudios Constitucionales","www.estudiosconstitucionales.cl","0718-0195;0718-5200",15,46,26,17,501
"Gayana Botanica","gayanabotanica.cl","0016-5301;0717-6643",15,16,22,16,183
"Pléyade","revistapleyade.cl","0718-655X;0719-3696",15,11,48,24,363
"AUS [Arquitectura / Urbanismo / Sustentabilidad]","revistas.uach.cl","0718-204X;0718-7262",15,28,29,26,429
"Littera Scripta","litterascripta.unab.cl","2735-6140",15,15,15,5,58
"Revista de Derecho Ambiental","revistas.uchile.cl","0718-0101;0719-4633",14,21,18,18,207
"Mutatis Mutandis: Revista Internacional de Filosofía","revistamutatismutandis.com","0719-4773",14,31,22,36,263
"Revista Electrónica de Investigación en Docencia Universitaria","reidu.cl","2452-4875",14,5,15,16,68
"Revista Sophia Austral","www.sophiaaustral.cl","0719-5605",14,16,21,33,196
"Revista Central de Sociología","www.centraldesociologia.cl","0718-4379;2735-7058",14,27,0,18,137
"Revista Notas Históricas y Geográficas","revistanotashistoricasygeograficas.cl","0719-4404",14,38,338,1,420
"Si Somos Americanos","sisomosamericanos.cl","0718-2910;0719-0948",14,18,17,20,384
"Revista Educación Física Chile","revistas.umce.cl","0716-0518;0719-1723",14,57,6,0,87
"Materia Arquitectura","materiaarquitectura.com","0718-7033;2735-7503",14,22,83,19,489
"Revista Protesta y Carisma","revistaprotestaycarisma.cl","2452-5308",14,22,25,0,61
"Convergencia Educativa","revistaucmaule.ucm.cl","0719-3351",14,12,11,11,104
"Revista ProPulsión Interdisciplina en Ciencias Sociales y Humanidades","ojs.revpropulsion.cl","2452-5758",14,19,16,8,70
"Revista Matronería Actual","revistas.uv.cl","2452-5820",14,33,11,7,76
"Revista de Historia y Geografía","ediciones.ucsh.cl","0719-4137;0719-4145",14,14,18,20,207
"Inmanere","revistas.ucsc.cl","2735-7961;2735-797X",14,6,0,0,26
"Revista de Ciencias Sociales","revistacienciasociales.cl","0717-2257;0718-3631",14,14,12,15,157
"Dorsal. Revista de Estudios Foucaultianos","coloquio2019.cenaltes.cl","0719-7519",14,27,23,32,190
"Revista de Pensamiento Crítico Aymara","www.pensamientocriticoaymara.com","2707-692X;2707-6938",14,22,15,13,75
