oai_url,application,version,earliest_datestamp,repository_name,set_spec,context_name,stats_id,total_record_count,issn,country_marc,country_issn,country_tld,country_ip,country_consolidated,last_completed_update,first_beacon,last_beacon,last_oai_response,unresponsive_endpoint,unresponsive_context,record_count_2020,record_count_2021,record_count_2022,record_count_2023,issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error,indice_visibilidad,indice_visibilidad_ajustado,tasa_indexacion_openalex,es_chile_activa
https://revistahistoria.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,rhis,Historia,5a281158ae477,911,0717-7194,cl,CL,CL,,cl,2024-09-11 06:04:12+00:00,2024-01-12 19:22:47+00:00,2024-07-05 21:50:24+00:00,2024-09-11 06:00:24+00:00,0,0,26,20,46,51,0717-7194,S973993200,771,1782,17,0.1571428571428571,True,,1.9560922063666304,2.311284046692607,0.8463227222832053,True
https://revistainclusiones.org/index.php/index/oai,ojs,3.2.0.3,2020-12-26T15:18:05Z,,inclu,Revista Inclusiones,5ebd32a1dc095,2671,0719-4706,cl,CL,,GB,cl,2024-09-29 04:27:31+00:00,2020-05-30 20:22:16+00:00,2024-09-04 13:22:56+00:00,2024-09-29 04:27:26+00:00,0,0,849,636,125,47,0719-4706,S2737790442,2049,1124,14,0.160377358490566,True,,0.4208161737177087,0.5485602733040508,0.7671284163234744,True
https://academiaone.org/index.php/index/oai,ojs,3.3.0.14,2023-04-24T17:51:47Z,Academia One,6,Open Herald: Periodical of Methodical Research,642e721191c1f,149,2810-6385,cl,CL,,,cl,2024-10-20 08:18:23+00:00,2023-04-28 09:06:58+00:00,2024-04-12 07:20:29+00:00,2024-10-20 08:17:35+00:00,0,0,0,0,0,46,2810-6385,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://www.observatorioeconomico.cl/index.php/index/oai,ojs,3.3.0.19,2023-09-30T20:05:47Z,,oe,Observatorio Económico,5ded2c6ccfa67,554,0719-9597,Chile,CL,CL,US,cl,2024-10-01 07:12:05+00:00,2020-08-21 19:48:31+00:00,2024-10-18 20:41:22+00:00,2024-10-01 07:11:57+00:00,0,0,44,36,47,42,0719-9597,S4210209342,632,181,5,0.0898876404494382,True,,0.3267148014440433,0.2863924050632911,1.1407942238267148,True
https://revistadelaconstruccion.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,RDLC,Revista de la Construcción. Journal of Construction,5a281158ae477,459,0718-915X,cl,CL,CL,,cl,2024-10-12 04:55:42+00:00,2024-05-17 20:05:47+00:00,2024-10-14 20:14:17+00:00,2024-10-12 04:52:39+00:00,0,0,56,43,52,42,0718-915X,S995157691,430,2023,22,2.1333333333333333,True,,4.407407407407407,4.7046511627906975,0.9368191721132898,True
https://ojs.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,psykhe,Psykhe,5a281158ae477,872,0718-2228,cl,CL,CL,,cl,2024-10-11 07:44:44+00:00,2024-01-09 20:48:00+00:00,2024-10-18 13:37:34+00:00,2024-10-11 07:41:33+00:00,0,0,16,44,33,41,0718-2228,S110868954,611,5853,36,0.7534246575342466,True,,6.712155963302752,9.579378068739771,0.7006880733944955,True
https://cuhso.uct.cl/index.php/index/oai,ojs,3.3.0.11,2022-09-07T21:58:27Z,,cuhso,REVISTA CUHSO,5465178f43fb2,910,2452-610X,cl,CL,CL,CL,cl,2024-10-08 06:46:50+00:00,2020-05-03 11:27:02+00:00,2024-10-11 15:51:01+00:00,2024-10-08 06:46:42+00:00,0,0,0,89,214,40,2452-610X,S4387283128,0,0,10,0.1864406779661017,True,,0.0,0.0,0.0,True
https://academiaone.org/index.php/index/oai,ojs,3.3.0.14,2023-04-24T17:51:47Z,Academia One,7,Wire Insights: Journal of Innovation Insights,642e721191c1f,69,2810-6458,cl,CL,,,cl,2024-10-20 08:18:23+00:00,2023-04-28 09:06:58+00:00,2024-04-12 07:20:29+00:00,2024-10-20 08:17:35+00:00,0,0,0,0,0,40,2810-6458,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://www.neumologia-pediatrica.cl/index.php/index/oai,ojs,3.4.0.3,2021-01-26T01:45:50Z,,NP,Neumología Pediátrica,5fc5a9248b2bb,372,0718-333X,Chile,CL,CL,US,cl,2024-05-09 19:57:34+00:00,2020-12-02 05:14:10+00:00,2024-03-04 19:23:37+00:00,2024-05-09 19:57:31+00:00,0,0,48,172,41,39,0718-333X,S4210212550,354,240,6,0.0941176470588235,True,,0.6451612903225806,0.6779661016949152,0.9516129032258064,True
https://nuestramerica.cl/ojs/index.php/index/oai,ojs,3.3.0.10,2022-07-02T17:46:58Z,Revistas nuestrAmérica,nuestramerica,Revista nuestrAmérica,5c4d0a68c6569,327,0719-3092,cl,CL,CL,CL,cl,2024-10-08 07:04:29+00:00,2020-05-02 13:02:44+00:00,2024-09-06 03:27:34+00:00,2024-10-08 07:04:14+00:00,0,0,21,77,54,39,0719-3092,S4306527784,168,18,2,0.0,True,,0.055045871559633,0.1071428571428571,0.5137614678899083,True
https://revistas.udec.cl/index.php/index/oai,ojs,3.2.0.3,2017-05-14T04:45:46Z,Revistas Académicas Universidad de Concepción,cienciayenfermeria,Ciencia y Enfermería,58e51e0ae72e0,751,0717-9553,Chile,CL,CL,CL,cl,2024-10-02 07:40:56+00:00,2020-06-10 13:58:40+00:00,2022-12-26 11:47:32+00:00,2024-10-02 07:38:14+00:00,0,0,25,50,40,38,0717-9553,S4210193385,627,5803,32,0.5,True,,7.727030625832223,9.25518341307815,0.8348868175765646,True
https://revistas.uv.cl/index.php/index/oai,ojs,3.3.0.17,2015-05-13T16:48:26Z,Portal de revistas - Universidad de Valparaíso,syt,Sur y Tiempo: Revista de Historia de América,5499cd3d812c2,104,2452-574X,cl,CL,CL,,cl,2024-10-13 06:09:19+00:00,2021-12-03 11:15:40+00:00,2024-10-17 12:38:42+00:00,2024-10-13 06:08:12+00:00,0,0,20,16,6,38,2452-574X,S4210190397,70,15,2,0.0444444444444444,True,,0.1442307692307692,0.2142857142857142,0.6730769230769231,True
https://tallerdeletras.letras.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,TL,Taller de Letras,5a281158ae477,432,2735-6825,cl,CL,CL,,cl,2024-10-14 05:10:41+00:00,2024-08-15 14:18:49+00:00,2024-10-01 19:37:01+00:00,2024-10-14 05:08:34+00:00,0,0,65,32,35,38,2735-6825,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://www.jotmi.org/index.php/index/oai,ojs,3.3.0.19,2013-07-26T08:09:30Z,Journal of Technology Management and Innovation,GT,Journal of Technology Management & Innovation,52a4d440aee30,960,0718-2724,Chile,CL,,US,cl,2024-10-04 06:47:36+00:00,2020-05-04 20:27:07+00:00,2024-10-18 13:54:16+00:00,2024-10-04 06:47:31+00:00,0,0,28,45,36,37,0718-2724,S72326750,850,13671,51,1.3055555555555556,True,,14.240625,16.083529411764705,0.8854166666666666,True
https://revista-avante.com/index.php/index/oai,ojs,3.3.0.10,2023-08-01T14:56:18Z,,inicio,Revista Avante de Ciencias Sociales y Humanidades,624c7bb8ece10,80,0719-9740,cl,CL,,,cl,2024-09-29 04:08:45+00:00,2022-04-05 16:03:22+00:00,2024-10-11 14:28:30+00:00,2024-09-29 04:08:37+00:00,0,0,6,6,30,37,0719-9740,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://revistachilenadederecho.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,Rchd,Revista Chilena de Derecho,5a281158ae477,2032,0716-0747,cl,CL,CL,,cl,2024-10-20 05:26:31+00:00,2024-04-27 00:22:38+00:00,2024-07-30 19:23:55+00:00,2024-10-20 05:21:48+00:00,0,0,95,65,37,37,0716-0747,S35203962,1897,2860,17,0.3134328358208955,True,,1.40748031496063,1.50764364786505,0.9335629921259844,True
https://www.chungara.cl/ojs/prod/index.php/index/oai,ojs,3.0.2.0,2020-06-04T21:40:11Z,,chungara,Chungara Revista de Antropología Chilena,,162,0717-7356,cl,CL,CL,,cl,2024-10-21 05:52:34+00:00,2023-12-26 15:06:58+00:00,2024-10-12 12:38:45+00:00,2024-10-21 05:52:24+00:00,0,0,7,58,42,36,0717-7356,S17808133,1047,7883,34,0.3561643835616438,True,,48.660493827160494,7.529130850047755,6.462962962962963,True
https://revistaingenieriaconstruccion.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,ric,Revista Ingeniería de Construcción,5a281158ae477,675,0718-5073,cl,CL,CL,,cl,2024-10-11 07:27:31+00:00,2024-09-01 22:59:33+00:00,2024-10-18 23:34:05+00:00,2024-10-11 07:25:21+00:00,0,0,47,29,34,35,0718-5073,S4210232411,300,1739,16,0.2142857142857142,True,,2.576296296296296,5.796666666666667,0.4444444444444444,True
https://www.revistareder.com/ojs/index.php/index/oai,ojs,2.4.8.2,2023-01-15T07:08:09Z,Open Journal Systems,reder,Journal of Latin American Studies on Disaster Risk Reduction REDER,5a174b3f48d8a,167,0719-8477,Chile,CL,,US,cl,2024-10-02 05:37:04+00:00,2020-06-18 03:15:15+00:00,2024-10-16 08:36:46+00:00,2024-10-02 05:36:57+00:00,0,0,20,22,22,33,0719-8477,S4220651642,118,224,7,0.7090909090909091,True,,1.341317365269461,1.8983050847457628,0.7065868263473054,True
https://www.revistas.usach.cl/ojs/index.php/index/oai,ojs,3.4.0.5,2017-05-22T12:56:24Z,Revistas y Publicaciones de la Universidad de Santiago de Chile,ideas,Estudios Avanzados,5b22733b94176,336,0718-5014,Chile,CL,CL,CL,cl,2024-10-08 06:30:48+00:00,2020-05-20 13:55:41+00:00,2024-10-17 19:21:02+00:00,2024-10-08 06:29:56+00:00,0,0,12,18,9,32,0718-5014,S2738463636,330,172,5,0.0625,True,,0.5119047619047619,0.5212121212121212,0.9821428571428572,True
https://revistas.ucsc.cl/index.php/index/oai,ojs,3.3.0.7,2016-05-27T15:05:17Z,Revistas Académicas,biologiapesquera,Biologia Pesquera,465483f45349a,157,0067-8767,cl,CL,CL,CL,cl,2024-10-21 10:03:39+00:00,2020-06-27 11:49:46+00:00,2024-10-15 19:33:41+00:00,2024-10-21 10:02:33+00:00,0,0,0,0,0,32,0067-8767,S4389158153,0,0,8,0.1071428571428571,True,,0.0,0.0,0.0,True
https://revistarevueltas.cl/ojs/index.php/index/oai,ojs,3.1.2.1,2022-04-28T13:11:33Z,,revueltas,Revueltas. Revista chilena de Historia Social Popular,5d9b6618ec43d,100,2452-5707,Chile,CL,CL,CL,cl,2024-10-13 05:30:03+00:00,2020-05-14 15:16:28+00:00,2024-10-15 15:21:36+00:00,2024-10-13 05:29:58+00:00,0,0,15,19,20,31,2452-5707,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://www.revistas.usach.cl/ojs/index.php/index/oai,ojs,3.4.0.5,2017-05-22T12:56:24Z,Revistas y Publicaciones de la Universidad de Santiago de Chile,historiasocial,Revista de Historia Social y de las Mentalidades,5b22733b94176,481,0719-4749,Chile,CL,CL,CL,cl,2024-10-08 06:30:48+00:00,2020-05-20 13:55:41+00:00,2024-10-17 19:21:02+00:00,2024-10-08 06:29:56+00:00,0,0,15,21,22,31,0719-4749,S2738607317,206,315,4,0.225,True,,0.6548856548856549,1.529126213592233,0.4282744282744283,True
https://pedagogiaderecho.uchile.cl/index.php/index/oai,ojs,3.3.0.8,2024-09-30T05:57:32Z,Revistas de la Universidad de Chile,RPUD,Revista Pedagogía Universitaria y Didáctica del Derecho,5a149fcb88c5f,234,0719-5885,Chile,CL,CL,CL,cl,2024-09-30 06:10:57+00:00,2020-12-28 12:22:32+00:00,2024-09-06 13:28:09+00:00,2024-09-30 05:57:33+00:00,0,0,28,32,29,29,0719-5885,S2737133040,195,500,11,0.423728813559322,True,,2.1367521367521367,2.5641025641025643,0.8333333333333334,True
https://rjd.uandes.cl/index.php/index/oai,ojs,3.4.0.4,2017-12-12T07:45:59Z,Revista Jurídica Digital UANDES,rjduandes,Revista Jurídica Digital UANDES,57ca1b60c3378,152,0719-7942,Chile,CL,CL,CL,cl,2024-09-30 06:21:27+00:00,2020-07-24 15:04:01+00:00,2024-10-03 18:00:04+00:00,2024-09-30 06:21:19+00:00,0,0,15,24,18,28,0719-7942,S4210236157,110,51,4,0.0285714285714285,True,,0.3355263157894737,0.4636363636363636,0.7236842105263158,True
http://www.reto.ubo.cl/index.php/index/oai,ojs,3.2.1.2,2014-01-30T16:07:01Z,Revista Terapia Ocupacional,reto,Revista de Estudiantes de Terapia Ocupacional,52e6f4e37e4ee,127,0719-8264,Chile,CL,CL,CL,cl,2024-10-02 08:02:50+00:00,2020-07-30 05:55:06+00:00,2023-10-25 13:12:47+00:00,2024-10-02 08:02:42+00:00,0,0,14,24,6,28,0719-8264,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://revistas.udec.cl/index.php/index/oai,ojs,3.2.0.3,2017-05-14T04:45:46Z,Revistas Académicas Universidad de Concepción,Ergonomia_Investigacion,"Ergonomía, Investigación y Desarrollo",58e51e0ae72e0,177,2452-4859,Chile,CL,CL,CL,cl,2024-10-02 07:40:56+00:00,2020-06-10 13:58:40+00:00,2022-12-26 11:47:32+00:00,2024-10-02 07:38:14+00:00,0,0,33,35,33,27,2452-4859,S4210194554,71,45,3,0.1296296296296296,True,,0.2542372881355932,0.6338028169014085,0.4011299435028249,True
https://ediciones.ucsh.cl/index.php/index/oai,ojs,3.3.0.8,2017-11-27T12:16:56Z,Portal de Publicaciones Académicas UCSH,Perspectivas,Revista Perspectivas: Notas sobre intervención y acción social,5a0b01e18d96a,385,0717-1714,cl,CL,CL,,cl,2024-10-02 05:48:28+00:00,2022-01-13 16:10:29+00:00,2023-10-20 14:22:00+00:00,2024-10-02 05:47:23+00:00,0,0,19,36,16,26,0717-1714,S4210168542,360,236,7,0.3513513513513513,True,,0.612987012987013,0.6555555555555556,0.935064935064935,True
http://coloquio2019.cenaltes.cl/ojs/3401/index.php/index/oai,ojs,3.4.0.1,2024-03-30T05:25:48Z,Open Journal Systems,hybris,"HYBRIS, Revista de Filosofí­a",65c446968e095,329,0718-8382,cl,CL,CL,,cl,2024-05-10 02:25:48+00:00,2024-02-15 04:42:47+00:00,2024-02-20 13:20:31+00:00,2024-03-30 05:25:49+00:00,0,0,39,35,29,26,0718-8382,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://revistas.uv.cl/index.php/index/oai,ojs,3.3.0.17,2015-05-13T16:48:26Z,Portal de revistas - Universidad de Valparaíso,Perfiles,Perfiles Económicos,5499cd3d812c2,126,0719-7586,cl,CL,CL,,cl,2024-10-13 06:09:19+00:00,2021-12-03 11:15:40+00:00,2024-10-17 12:38:42+00:00,2024-10-13 06:08:12+00:00,0,0,11,26,5,25,0719-7586,S4210234215,87,83,4,0.0,True,,0.6587301587301587,0.9540229885057472,0.6904761904761905,True
https://pensamientoeducativo.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,pel,Pensamiento Educativo,5a281158ae477,746,0719-0409,cl,CL,CL,,cl,2024-10-11 07:22:07+00:00,2024-01-12 16:00:32+00:00,2024-09-30 20:18:05+00:00,2024-10-11 07:18:58+00:00,0,0,30,24,24,25,0719-0409,S4210229652,220,669,16,1.2037037037037035,True,,0.8967828418230563,3.040909090909091,0.2949061662198391,True
https://revistas.umce.cl/index.php/index/oai,ojs,3.3.0.16,2017-04-24T10:07:19Z,Portal Oficial de Revistas Académicas de la UMCE,limes,Limes: Revista de Estudios Clásicos,56b34cf039b64,25,0716-5919,cl,CL,CL,CL,cl,2024-10-08 08:24:12+00:00,2020-05-26 09:04:53+00:00,2024-10-18 14:01:43+00:00,2024-10-08 08:23:14+00:00,0,0,0,0,0,25,0716-5919,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://revistas.academia.cl/index.php/index/oai,ojs,3.1.1.4,2015-01-08T18:02:34Z,Portal de Revistas de la Universidad Academia de Humanismo Cristiano,actos,Revista Actos,548056eab171e,106,2452-4727,Chile,CL,CL,CL,cl,2024-10-08 07:13:42+00:00,2020-05-08 14:48:18+00:00,2024-10-03 18:41:17+00:00,2024-10-08 07:13:06+00:00,0,0,19,18,23,24,2452-4727,S4210191914,81,24,3,0.0196078431372549,True,,0.2264150943396226,0.2962962962962963,0.7641509433962265,True
https://revistas.ubiobio.cl/index.php/index/oai,ojs,3.3.0.8,2014-11-17T13:52:03Z,Revistas Universidad del Bío-Bío,REINED,Revista Reflexión e Investigación Educacional,54257aa43a23d,124,2452-4638,cl,CL,CL,CL,cl,2024-09-30 07:35:43+00:00,2020-05-07 18:25:33+00:00,2024-10-18 18:52:24+00:00,2024-09-30 07:34:24+00:00,0,0,22,10,11,23,2452-4638,S4390297081,0,0,4,0.2058823529411764,True,,0.0,0.0,0.0,True
